entry_time,exit_time,side,entry_price,exit_price,pnl,reason
2025-11-16 11:20:00,2025-11-16 13:30:00,short,95737.42,95363.93243806117,118.1272162518166,Take Profit
2025-11-16 18:15:00,2025-11-16 18:35:00,long,95085.13,94565.73972273564,-146.96696031160414,Stop Loss
2025-11-16 18:40:00,2025-11-16 20:25:00,short,94161.84,94651.69793117509,-144.19539451791914,Stop Loss
2025-11-16 22:55:00,2025-11-16 23:00:00,long,94183.36,93746.92698877258,-141.9955652307916,Stop Loss
2025-11-17 14:50:00,2025-11-17 15:05:00,long,94892.0,94259.68680026749,-135.30907989760072,Stop Loss
2025-11-17 23:25:00,2025-11-17 23:55:00,short,91884.37,92220.06214549355,-126.54810989392574,Stop Loss
2025-11-18 00:35:00,2025-11-18 00:45:00,short,91715.61,91211.74813385645,155.49584383766182,Take Profit
2025-11-18 07:35:00,2025-11-18 08:15:00,long,90468.0,91110.41396011293,196.3896208785616,Take Profit
2025-11-18 22:25:00,2025-11-18 23:05:00,long,93246.88,92981.81538867226,-104.22453251752881,Stop Loss
2025-11-18 23:20:00,2025-11-18 23:35:00,short,92772.0,93015.4611109313,-95.50411198777897,Stop Loss
2025-11-19 07:10:00,2025-11-19 07:45:00,long,91320.0,91822.30718693048,158.1872590849756,Take Profit
2025-11-19 09:10:00,2025-11-19 10:05:00,short,91349.76,91631.05363987564,-110.52868960528802,Stop Loss
2025-11-19 15:30:00,2025-11-19 15:55:00,short,90723.48,89906.76775422975,198.45913580505305,Take Profit
2025-11-20 23:35:00,2025-11-21 00:10:00,short,86808.3,87227.49836848502,-139.02750074666355,Stop Loss
2025-11-21 05:15:00,2025-11-21 05:35:00,long,86258.1,85862.2828035864,-136.22856265189924,Stop Loss
2025-11-21 12:50:00,2025-11-21 14:35:00,long,83576.66,84885.91125805084,198.72358517097308,Take Profit
2025-11-21 16:55:00,2025-11-21 18:05:00,long,84919.59,84096.65641345926,-131.44085289007572,Stop Loss
2025-11-21 18:20:00,2025-11-21 18:30:00,short,83632.73,84337.30636024443,-129.46128789725833,Stop Loss
2025-11-21 18:40:00,2025-11-21 20:15:00,long,84529.65,83838.88347850007,-126.70594745176852,Stop Loss
2025-11-22 12:10:00,2025-11-22 13:10:00,short,83694.22,83957.44046409686,-104.78113843435077,Stop Loss
2025-11-22 22:25:00,2025-11-22 22:50:00,long,84616.51,84922.81600320325,93.21935111743832,Take Profit
2025-11-23 06:20:00,2025-11-23 07:00:00,short,86139.56,85761.78617159028,117.11629067952919,Take Profit
2025-11-23 11:00:00,2025-11-23 11:25:00,short,85905.36,86100.319799919,-79.84102248929557,Stop Loss
2025-11-23 17:10:00,2025-11-23 18:15:00,short,86710.7,86996.21019891588,-108.75021965094045,Stop Loss
2025-11-24 05:20:00,2025-11-24 05:55:00,long,87691.99,87335.09056675482,-126.639020853414,Stop Loss
2025-11-25 10:50:00,2025-11-25 12:40:00,long,87374.99,87748.29649960436,108.95107538722098,Take Profit
2025-11-25 13:40:00,2025-11-25 14:05:00,short,87038.08,87287.56949314833,-93.56965543769336,Stop Loss
2025-11-25 19:00:00,2025-11-25 19:20:00,short,86945.81,86427.1971868971,156.49633624130539,Take Profit
2025-11-25 20:45:00,2025-11-25 21:55:00,long,87347.6,87022.60880272165,-118.78406566884033,Stop Loss
2025-11-26 05:30:00,2025-11-26 06:10:00,long,87642.42,87450.25400181006,-73.04875171367868,Stop Loss
2025-11-26 13:45:00,2025-11-26 14:20:00,long,86994.3,87352.2891887044,103.09864268646605,Take Profit
2025-11-27 05:45:00,2025-11-27 06:10:00,short,91026.76,91272.42547711953,-87.49052388936893,Stop Loss
2025-11-27 06:25:00,2025-11-27 07:00:00,long,91382.0,91166.68778172521,-76.4018449360505,Stop Loss
2025-11-28 03:15:00,2025-11-28 04:15:00,long,91138.54,91427.97816479225,75.7232249181519,Take Profit
2025-11-28 06:35:00,2025-11-28 06:40:00,short,91279.36,91421.36174161898,-54.0258405478351,Stop Loss
2025-11-28 08:55:00,2025-11-28 09:40:00,long,91690.0,91453.95476994832,-81.14550822892421,Stop Loss
2025-11-28 11:20:00,2025-11-28 12:00:00,short,91261.6,91492.4419215886,-78.62610542392918,Stop Loss
2025-11-28 16:15:00,2025-11-28 16:20:00,short,91980.87,91416.19684170425,151.4821678724754,Take Profit
2025-11-29 17:15:00,2025-11-29 17:30:00,short,90731.37,90486.35213379447,62.345570490612204,Take Profit
2025-11-29 20:00:00,2025-11-29 20:25:00,short,90467.48,90628.42897328123,-59.60859861665712,Stop Loss
2025-11-30 11:30:00,2025-11-30 12:15:00,short,91174.26,91302.24403248522,-48.703706515261125,Stop Loss
2025-11-30 14:45:00,2025-11-30 16:20:00,short,91452.21,91626.63419614187,-61.61472240133995,Stop Loss
2025-12-01 06:40:00,2025-12-01 08:35:00,long,86289.85,86695.8387207901,113.31802543675039,Take Profit
2025-12-01 14:05:00,2025-12-01 14:50:00,long,86261.51,85889.97038806078,-117.32338240676594,Stop Loss
2025-12-02 00:25:00,2025-12-02 00:50:00,short,86329.65,86578.23491647374,-85.99115225272713,Stop Loss
2025-12-02 21:55:00,2025-12-02 23:50:00,long,91562.43,91285.97794069155,-87.94461599003463,Stop Loss
2025-12-03 07:15:00,2025-12-03 07:25:00,short,92877.63,93190.73594441479,-95.21135731582096,Stop Loss
2025-12-03 14:00:00,2025-12-03 14:05:00,short,91754.55,92105.30359553128,-104.38853643910952,Stop Loss
2025-12-04 01:30:00,2025-12-04 02:20:00,long,93453.73,94026.4837172908,138.234161700062,Take Profit
2025-12-04 04:00:00,2025-12-04 05:40:00,short,93389.64,92967.97281159498,102.03089321297533,Take Profit
2025-12-04 15:35:00,2025-12-04 15:45:00,long,93229.01,92799.0562097838,-109.69255495738183,Stop Loss
2025-12-05 08:15:00,2025-12-05 09:15:00,short,92048.64,91820.78297946921,51.186068665322935,Take Profit
2025-12-05 15:20:00,2025-12-05 15:50:00,long,91136.67,90668.34204483434,-107.13253740291202,Stop Loss
2025-12-05 16:00:00,2025-12-05 16:10:00,short,90152.41,89341.82621436751,154.7542991694519,Take Profit
2025-12-06 00:10:00,2025-12-06 00:30:00,short,89114.88,89287.37581664462,-58.46105278585328,Stop Loss
2025-12-06 00:35:00,2025-12-06 01:40:00,long,89436.64,89258.12897175577,-59.11034695614834,Stop Loss
2025-12-06 09:35:00,2025-12-06 10:45:00,long,89629.23,89482.97577163622,-49.425721586741275,Stop Loss
2025-12-06 15:25:00,2025-12-06 15:40:00,short,89639.84,89823.05316015358,-58.76679587178846,Stop Loss
2025-12-06 15:45:00,2025-12-06 16:50:00,long,89906.69,89716.41419246807,-59.609230580757306,Stop Loss
2025-12-07 00:30:00,2025-12-07 02:55:00,long,89430.09,89692.1864499108,59.068250805846176,Take Profit
2025-12-07 05:00:00,2025-12-07 06:05:00,short,89500.01,89589.37230861527,-33.01276925246838,Stop Loss
2025-12-07 13:25:00,2025-12-07 13:55:00,short,88926.37,89111.95399583495,-58.18280498408143,Stop Loss
2025-12-07 15:45:00,2025-12-07 15:55:00,long,88972.46,89544.35506456399,138.879774440016,Take Profit
2025-12-07 21:25:00,2025-12-07 21:40:00,short,90872.87,90549.37228905172,74.91720818613754,Take Profit
